E:\Huayu\Study\Master\TU_Berlin\2.Semester\IAT_Projekt_06_WS_2122\git\iat-project\input\Datensätze\Kamerasystem 2\V2-Baustahl\Prozessdaten\Current.txt
53240 53740
71760 72740
78000 79000
99000 99700
145300 146300
185200 186200
198700 199500
285200 286100
416200 417300
422260 423400
428900 429900
451700 452800
458100 459020
464500 465620
469300 470610
477800 478800
484300 485200
490650 491350
490500 491310
493200 493800
497400 498150
556000 557220
556000 557200
568300 569200
576500 577700
590400 591500
590400 591500
596850 598100
627700 628610
646780 647300
660000 661100
677700 678820
686100 687300
705800 706900
714300 715500
750300 751300
769200 770200
785200 786300
802900 803800
815050 816100
830800 831600
839000 840100
852800 853900
876100 877100
884400 885400
903500 904500
931700 932800
931700 932800
949100 950200
957500 958400
972900 974100
1032400 1033450
1067900 1068700
1095700 1096550
1151400 1152500
1158100 1159300
1231900 1232900
1256550 1257500
1270400 1271400
1319700 1320120
1340100 1340900
1344500 1345400
1401600 1402500
1417900 1418900
1448300 1449400
1476700 1477900
1523400 1524500
1523500 1524500
1572200 1572800
1637750 1638800
1671700 1672700
1692550 1693720
1719100 1720200
1742500 1743050
1773500 1774300
1798000 1798650
1836300 1836930
1836400 1836930
1860900 1861900
1887500 1888600
1895900 1897000
1940800 1941800
1949000 1950000
1975400 1975930
2032100 2033050
2082300 2083400
2218300 2219200
2291400 2292300
2331800 2332800
2347400 2348000
2351600 2352330
2351550 2352350
2420600 2421800
2451600 2452700
2523150 2524200
2553700 2554700
2567900 2569000
2583650 2584800
2602800 2603500
2639650 2640500
2658880 2659900
2665300 2665900
2688880 2689100
2707450 2708100
2707450 2708100
2738400 2739300
2759750 2760500
2771950 2773000
2780250 2781250
2786550 2787500
2789250 2789750
2828900 2830000
2835400 2835900
2843400 2844100
2875350 2876400
2984900 2985300
3167700 3168550
3207700 3208750
3269000 3269850
3299260 3300300
3309400 3310550
3309380 3310600
3349150 3350300
3349150 3350310
3355750 3356920
3402300 3403300
3573800 3574520
3616950 3617500
3637250 3637150
3650900 3651500
3673100 3674120
3708500 3709300
3711100 3711650
3726350 3727450
3803000 3804000
3816750 3817850
3873950 3874950
4046000 4046900
